Device;Datetime;"Humidity ext (%)";"Temp ext (C)";
"K-B3 ACOEM SW 5";2025-05-19 17:00:00;29,83;24,92;
"K-B3 ACOEM SW 5";2025-05-19 16:00:00;31,05;23,38;
"K-B3 ACOEM SW 5";2025-05-19 15:00:00;27,85;21,99;
"K-B3 ACOEM SW 5";2025-05-19 14:00:00;28,21;22,47;
"K-B3 ACOEM SW 5";2025-05-19 13:00:00;28,26;22,32;
"K-B3 ACOEM SW 5";2025-05-19 12:00:00;28,51;22,26;
"K-B3 ACOEM SW 5";2025-05-19 11:00:00;30,18;21,71;
"K-B3 ACOEM SW 5";2025-05-19 10:00:00;32,13;20,30;
"K-B3 ACOEM SW 5";2025-05-19 09:00:00;41,87;17,47;
"K-B3 ACOEM SW 5";2025-05-19 08:00:00;53,58;14,34;
"K-B3 ACOEM SW 5";2025-05-19 07:00:00;60,22;11,36;
"K-B3 ACOEM SW 5";2025-05-19 06:00:00;64,30;10,35;
"K-B3 ACOEM SW 5";2025-05-19 05:00:00;61,78;10,99;
"K-B3 ACOEM SW 5";2025-05-19 04:00:00;53,85;12,39;
"K-B3 ACOEM SW 5";2025-05-19 03:00:00;46,16;13,70;
"K-B3 ACOEM SW 5";2025-05-19 02:00:00;51,40;13,62;
"K-B3 ACOEM SW 5";2025-05-19 01:00:00;53,63;14,05;
"K-B3 ACOEM SW 5";2025-05-19 00:00:00;49,38;14,96;
"K-B3 ACOEM SW 5";2025-05-18 23:00:00;44,37;16,52;
"K-B3 ACOEM SW 5";2025-05-18 22:00:00;37,99;18,77;
"K-B3 ACOEM SW 5";2025-05-18 21:00:00;35,36;19,63;
"K-B3 ACOEM SW 5";2025-05-18 20:00:00;34,48;19,55;
"K-B3 ACOEM SW 5";2025-05-18 19:00:00;34,01;19,70;
"K-B3 ACOEM SW 5";2025-05-18 18:00:00;33,79;20,05;
"K-B3 ACOEM SW 5";2025-05-18 17:00:00;35,86;18,96;
"K-B3 ACOEM SW 5";2025-05-18 16:00:00;37,94;17,73;
"K-B3 ACOEM SW 5";2025-05-18 15:00:00;40,42;17,79;
"K-B3 ACOEM SW 5";2025-05-18 14:00:00;36,44;18,74;
"K-B3 ACOEM SW 5";2025-05-18 13:00:00;34,72;19,33;
"K-B3 ACOEM SW 5";2025-05-18 12:00:00;42,11;18,18;
"K-B3 ACOEM SW 5";2025-05-18 11:00:00;43,77;16,49;
"K-B3 ACOEM SW 5";2025-05-18 10:00:00;44,15;16,08;
"K-B3 ACOEM SW 5";2025-05-18 09:00:00;48,48;15,32;
"K-B3 ACOEM SW 5";2025-05-18 08:00:00;54,75;13,56;
"K-B3 ACOEM SW 5";2025-05-18 07:00:00;61,45;11,70;
"K-B3 ACOEM SW 5";2025-05-18 06:00:00;71,80;10,69;
"K-B3 ACOEM SW 5";2025-05-18 05:00:00;73,35;10,49;
"K-B3 ACOEM SW 5";2025-05-18 04:00:00;72,49;10,05;
"K-B3 ACOEM SW 5";2025-05-18 03:00:00;70,91;10,09;
"K-B3 ACOEM SW 5";2025-05-18 02:00:00;67,18;10,43;
"K-B3 ACOEM SW 5";2025-05-18 01:00:00;62,63;11,01;
"K-B3 ACOEM SW 5";2025-05-18 00:00:00;58,24;12,23;
"K-B3 ACOEM SW 5";2025-05-17 23:00:00;49,72;14,06;
"K-B3 ACOEM SW 5";2025-05-17 22:00:00;43,59;15,94;
"K-B3 ACOEM SW 5";2025-05-17 21:00:00;39,98;16,98;
"K-B3 ACOEM SW 5";2025-05-17 20:00:00;39,78;16,98;
"K-B3 ACOEM SW 5";2025-05-17 19:00:00;38,54;17,38;
