Date;Time;Ventilation Indicator;IAQ Indicator;Virus Index;thermalIndicator;Temperature (°C);Humidity (%);CO2 (ppm);Formaldehyde (µg/m³);TVOC (Index);PM 1.0 (µg/m³);PM 4.0 (µg/m³);PM 10 (µg/m³);PM 2.5 (µg/m³)
2025-05-13;00:03:58;73.00;77.00;55.00;100.00;23.30;41.00;905.00;4.00;56.00;1.00;1.00;1.00;1.00
2025-05-13;00:13:57;73.00;77.00;55.00;100.00;23.20;41.00;907.00;3.00;55.00;1.00;1.00;1.00;1.00
2025-05-13;00:23:58;77.00;78.00;58.00;100.00;23.10;40.00;871.00;2.00;52.00;1.00;1.00;1.00;1.00
2025-05-13;00:33:57;79.00;79.00;60.00;100.00;23.00;40.00;851.00;2.00;50.00;1.00;1.00;1.00;1.00
2025-05-13;00:43:58;81.00;79.00;61.00;100.00;22.90;41.00;835.00;2.00;49.00;1.00;1.00;1.00;1.00
2025-05-13;00:53:57;83.00;80.00;63.00;100.00;22.80;41.00;819.00;2.00;48.00;1.00;1.00;1.00;1.00
2025-05-13;01:03:57;84.00;80.00;64.00;100.00;22.70;41.00;808.00;2.00;48.00;1.00;1.00;1.00;1.00
2025-05-13;01:13:58;85.00;81.00;65.00;100.00;22.60;41.00;794.00;2.00;47.00;1.00;1.00;1.00;1.00
2025-05-13;01:23:57;85.00;80.00;66.00;100.00;22.50;42.00;801.00;2.00;47.00;1.00;1.00;1.00;1.00
2025-05-13;01:33:58;84.00;80.00;65.00;100.00;22.60;42.00;811.00;2.00;48.00;1.00;1.00;1.00;1.00
2025-05-13;01:43:57;85.00;80.00;66.00;100.00;22.50;42.00;804.00;3.00;50.00;1.00;1.00;1.00;1.00
2025-05-13;01:53:58;84.00;80.00;66.00;100.00;22.60;42.00;806.00;3.00;51.00;1.00;1.00;1.00;1.00
2025-05-13;02:03:57;82.00;80.00;65.00;100.00;22.50;43.00;824.00;3.00;52.00;1.00;1.00;1.00;1.00
2025-05-13;02:13:57;84.00;80.00;67.00;100.00;22.40;43.00;808.00;4.00;53.00;1.00;1.00;1.00;1.00
2025-05-13;02:23:58;85.00;80.00;67.00;100.00;22.40;43.00;803.00;3.00;52.00;1.00;1.00;1.00;1.00
2025-05-13;02:33:57;85.00;80.00;67.00;100.00;22.40;43.00;804.00;4.00;53.00;1.00;1.00;1.00;1.00
2025-05-13;02:43:58;84.00;80.00;67.00;100.00;22.40;43.00;808.00;4.00;53.00;1.00;1.00;1.00;1.00
2025-05-13;02:53:58;84.00;80.00;67.00;100.00;22.40;43.00;810.00;6.00;54.00;1.00;1.00;1.00;1.00
2025-05-13;03:03:57;84.00;80.00;67.00;100.00;22.30;43.00;810.00;6.00;54.00;1.00;1.00;1.00;1.00
2025-05-13;03:13:58;85.00;80.00;68.00;100.00;22.30;44.00;802.00;5.00;54.00;1.00;1.00;1.00;1.00
2025-05-13;03:23:57;83.00;80.00;67.00;100.00;22.30;44.00;814.00;7.00;54.00;1.00;1.00;1.00;1.00
2025-05-13;03:33:57;83.00;80.00;67.00;100.00;22.30;44.00;813.00;6.00;55.00;1.00;1.00;1.00;1.00
2025-05-13;03:43:58;83.00;80.00;67.00;100.00;22.20;44.00;813.00;6.00;55.00;1.00;1.00;1.00;1.00
2025-05-13;03:53:57;83.00;80.00;67.00;100.00;22.20;44.00;820.00;10.00;55.00;1.00;1.00;1.00;1.00
2025-05-13;04:03:58;82.00;80.00;67.00;100.00;22.20;44.00;823.00;11.00;56.00;1.00;1.00;1.00;1.00
2025-05-13;04:13:57;83.00;80.00;67.00;100.00;22.20;44.00;816.00;6.00;56.00;1.00;1.00;1.00;1.00
2025-05-13;04:23:58;84.00;80.00;67.00;100.00;22.20;44.00;812.00;5.00;55.00;1.00;1.00;1.00;1.00
