Date;Time;Temperature (°C);Humidity (%);CO2 (ppm);Formaldehyde (µg/m³);TVOC (ppb);PM 1.0 (µg/m³);PM 4.0 (µg/m³);PM 10 (µg/m³);PM 2.5 (µg/m³)
2023-08-01;00:10:02;25.3;44.0;;40.0;194.0;1.0;1.0;1.0;1.0
2023-08-01;00:25:02;25.3;44.0;;41.0;205.0;1.0;1.0;1.0;1.0
2023-08-01;00:40:02;25.3;44.0;;42.0;209.0;1.0;1.0;1.0;1.0
2023-08-01;00:55:02;25.3;44.0;;42.0;220.0;1.0;1.0;1.0;1.0
2023-08-01;01:10:02;25.3;44.0;;42.0;227.0;1.0;1.0;1.0;1.0
2023-08-01;01:25:02;25.3;44.0;;42.0;228.0;1.0;1.0;1.0;1.0
2023-08-01;01:40:02;25.3;44.0;;42.0;232.0;1.0;1.0;1.0;1.0
2023-08-01;01:55:02;25.3;44.0;;43.0;236.0;1.0;1.0;1.0;1.0
2023-08-01;02:10:02;25.3;44.0;;43.0;239.0;1.0;1.0;1.0;1.0
2023-08-01;02:25:02;25.3;44.0;;44.0;240.0;1.0;1.0;1.0;1.0
2023-08-01;02:40:02;25.3;44.0;;44.0;247.0;1.0;1.0;1.0;1.0
2023-08-01;02:55:02;25.3;44.0;;44.0;245.0;1.0;1.0;1.0;1.0
2023-08-01;03:10:02;25.3;44.0;;43.0;246.0;1.0;1.0;1.0;1.0
2023-08-01;03:25:02;25.3;44.0;;43.0;243.0;1.0;1.0;1.0;1.0
2023-08-01;03:40:02;25.3;44.0;;44.0;251.0;1.0;1.0;1.0;1.0
2023-08-01;03:55:02;25.2;44.0;;44.0;249.0;1.0;1.0;1.0;1.0
2023-08-01;04:10:02;25.2;44.0;;44.0;251.0;1.0;1.0;1.0;1.0
2023-08-01;04:25:02;25.2;44.0;;44.0;249.0;1.0;1.0;1.0;1.0
2023-08-01;04:40:02;25.2;43.0;;44.0;255.0;1.0;1.0;1.0;1.0
2023-08-01;04:55:02;25.2;43.0;;44.0;253.0;1.0;1.0;1.0;1.0
2023-08-01;05:10:02;25.2;43.0;;44.0;256.0;1.0;1.0;1.0;1.0
2023-08-01;05:25:02;25.2;43.0;;44.0;255.0;1.0;1.0;1.0;1.0
2023-08-01;05:40:02;25.2;43.0;;44.0;260.0;1.0;1.0;1.0;1.0
2023-08-01;05:55:02;25.2;43.0;;44.0;257.0;1.0;1.0;1.0;1.0
2023-08-01;06:10:02;25.2;43.0;;44.0;277.0;1.0;1.0;1.0;1.0
