Date;Time;Temperature (°C);Humidity (%);CO2 (ppm);Formaldehyde (µg/m³);TVOC (Index);PM 1.0 (µg/m³);PM 4.0 (µg/m³);PM 10 (µg/m³);PM 2.5 (µg/m³)
2023-08-01;00:13:31;25.6;44.0;;13.0;;0.0;0.0;0.0;0.0
2023-08-01;00:28:31;25.7;44.0;;15.0;;0.0;1.0;1.0;1.0
2023-08-01;00:43:31;25.7;44.0;;16.0;;1.0;1.0;1.0;1.0
2023-08-01;00:58:31;25.7;44.0;;17.0;;0.0;1.0;1.0;1.0
2023-08-01;01:13:31;25.7;44.0;;18.0;;0.0;1.0;1.0;1.0
2023-08-01;01:28:31;25.8;44.0;;19.0;;0.0;0.0;0.0;0.0
2023-08-01;01:43:31;25.8;44.0;;20.0;;0.0;0.0;0.0;0.0
2023-08-01;01:58:31;25.8;44.0;;21.0;;1.0;1.0;1.0;1.0
2023-08-01;02:13:31;25.8;44.0;;21.0;;0.0;1.0;1.0;1.0
2023-08-01;02:28:31;25.9;44.0;;22.0;;0.0;1.0;1.0;1.0
2023-08-01;02:43:31;25.9;44.0;;23.0;;0.0;0.0;0.0;0.0
2023-08-01;02:58:31;25.9;44.0;;23.0;;0.0;0.0;0.0;0.0
2023-08-01;03:13:31;25.9;44.0;;23.0;;0.0;1.0;1.0;1.0
2023-08-01;03:28:31;25.9;43.0;;24.0;;0.0;0.0;0.0;0.0
2023-08-01;03:43:31;26.0;43.0;;24.0;;0.0;1.0;1.0;1.0
2023-08-01;03:58:31;26.1;43.0;;25.0;;0.0;1.0;1.0;1.0
2023-08-01;04:13:31;26.1;43.0;;25.0;;1.0;1.0;1.0;1.0
2023-08-01;04:28:31;26.1;43.0;;26.0;;0.0;0.0;0.0;0.0
2023-08-01;04:43:31;26.1;43.0;;26.0;;0.0;0.0;0.0;0.0
2023-08-01;04:58:31;26.1;43.0;;27.0;;0.0;0.0;0.0;0.0
2023-08-01;05:13:31;26.1;43.0;;27.0;;0.0;0.0;0.0;0.0
2023-08-01;05:28:31;26.1;43.0;;27.0;;0.0;0.0;0.0;0.0
2023-08-01;05:43:31;26.1;43.0;;27.0;;0.0;0.0;0.0;0.0
2023-08-01;05:58:31;26.1;43.0;;27.0;;0.0;1.0;1.0;1.0
2023-08-01;06:13:31;26.1;43.0;;27.0;;0.0;0.0;0.0;0.0
2023-08-01;06:28:31;26.1;43.0;;27.0;;1.0;1.0;1.0;1.0
2023-08-01;06:43:31;26.1;42.0;;24.0;;1.0;1.0;1.0;1.0
2023-08-01;06:58:31;26.1;41.0;;7.0;;1.0;1.0;1.0;1.0
2023-08-01;07:13:31;25.8;41.0;;4.0;;1.0;1.0;1.0;1.0
2023-08-01;07:28:31;25.4;42.0;;2.0;;1.0;1.0;1.0;1.0
2023-08-01;07:43:31;24.7;43.0;;2.0;;0.0;1.0;1.0;1.0
2023-08-01;07:58:31;24.4;44.0;;2.0;;1.0;1.0;1.0;1.0
2023-08-01;08:13:31;24.4;44.0;;2.0;;1.0;1.0;1.0;1.0
2023-08-01;08:28:31;24.4;44.0;;2.0;;1.0;1.0;1.0;1.0
2023-08-01;08:43:31;24.2;44.0;;2.0;;1.0;1.0;1.0;1.0
2023-08-01;08:58:31;24.2;44.0;;2.0;;1.0;1.0;1.0;1.0
2023-08-01;09:13:31;24.2;44.0;;2.0;;1.0;1.0;1.0;1.0
2023-08-01;09:28:31;24.0;45.0;;2.0;;1.0;1.0;1.0;1.0
2023-08-01;09:43:31;24.1;45.0;;2.0;;1.0;1.0;1.0;1.0
2023-08-01;09:58:31;23.9;46.0;;2.0;;1.0;1.0;1.0;1.0
2023-08-01;10:13:31;23.9;46.0;;2.0;;1.0;1.0;1.0;1.0
2023-08-01;10:28:31;24.0;46.0;;2.0;;1.0;1.0;1.0;1.0
