Date;Time;Ventilation Indicator;IAQ Indicator;Virus Index;thermalIndicator;Temperature (°C);Humidity (%);CO2 (ppm);Formaldehyde (µg/m³);TVOC (ppb);PM 1.0 (µg/m³);PM 4.0 (µg/m³);PM 10 (µg/m³);PM 2.5 (µg/m³)
2023-07-06;09:50:54;3.00;77.00;3.00;;18.80;62.00;;10.00;0.00;1.00;1.00;1.00;1.00
2023-07-06;09:56:24;3.00;77.00;3.00;;18.90;63.00;;6.00;3.00;1.00;1.00;1.00;1.00
2023-07-06;10:11:13;3.00;82.00;4.00;;19.40;61.00;;14.00;3.00;1.00;1.00;1.00;1.00
2023-07-06;10:26:13;3.00;87.00;5.00;;21.20;57.00;;51.00;2.00;1.00;1.00;1.00;1.00
2023-07-06;10:41:13;3.00;87.00;5.00;;22.20;54.00;;60.00;3.00;1.00;1.00;1.00;1.00
2023-07-06;10:56:13;3.00;87.00;5.00;;22.60;53.00;;54.00;2.00;1.00;1.00;1.00;1.00
2023-07-06;11:11:13;3.00;87.00;5.00;;22.80;52.00;;50.00;3.00;1.00;1.00;1.00;1.00
2023-07-06;11:26:13;3.00;87.00;5.00;;22.90;52.00;;52.00;2.00;1.00;1.00;1.00;1.00
2023-07-06;11:41:13;3.00;87.00;5.00;;23.00;51.00;;46.00;3.00;1.00;1.00;1.00;1.00
2023-07-06;11:56:13;3.00;87.00;10.00;;23.10;50.00;;51.00;3.00;0.00;0.00;0.00;0.00
2023-07-06;12:11:13;3.00;87.00;10.00;;23.10;50.00;;56.00;4.00;0.00;0.00;0.00;0.00
2023-07-06;12:26:13;3.00;87.00;10.00;;23.20;51.00;;57.00;4.00;0.00;0.00;0.00;0.00
2023-07-06;12:41:13;3.00;87.00;5.00;;23.30;51.00;;55.00;5.00;1.00;1.00;1.00;1.00
2023-07-06;12:56:13;3.00;87.00;5.00;;23.30;51.00;;57.00;4.00;1.00;1.00;1.00;1.00
2023-07-06;13:11:13;3.00;87.00;5.00;;23.40;51.00;;57.00;4.00;1.00;1.00;1.00;1.00
2023-07-06;13:26:13;3.00;87.00;5.00;;23.50;51.00;;61.00;7.00;1.00;1.00;1.00;1.00
2023-07-06;13:41:13;3.00;87.00;5.00;;23.60;52.00;;58.00;5.00;1.00;1.00;1.00;1.00
2023-07-06;13:56:13;3.00;87.00;5.00;;23.60;52.00;;59.00;4.00;1.00;1.00;1.00;1.00
2023-07-06;13:56:21;3.00;87.00;5.00;;23.70;52.00;;58.00;3.00;1.00;1.00;1.00;1.00
2023-07-06;14:11:13;3.00;87.00;5.00;;23.70;52.00;;57.00;4.00;1.00;1.00;1.00;1.00
2023-07-06;14:26:13;3.00;87.00;5.00;;23.70;52.00;;55.00;5.00;1.00;1.00;1.00;1.00
2023-07-06;14:41:13;3.00;87.00;5.00;;23.70;52.00;;59.00;4.00;1.00;1.00;1.00;1.00
2023-07-06;14:56:13;3.00;86.00;5.00;;23.60;54.00;;63.00;6.00;1.00;1.00;1.00;1.00
2023-07-06;15:11:13;3.00;87.00;5.00;;23.60;55.00;;58.00;5.00;1.00;1.00;1.00;1.00
2023-07-06;15:26:13;3.00;87.00;5.00;;23.70;54.00;;56.00;4.00;1.00;1.00;1.00;1.00
2023-07-06;15:41:14;3.00;87.00;5.00;;23.60;54.00;;57.00;4.00;1.00;1.00;1.00;1.00
2023-07-06;15:56:13;3.00;87.00;5.00;;23.60;54.00;;57.00;4.00;1.00;1.00;1.00;1.00
2023-07-06;16:11:13;3.00;87.00;5.00;;23.60;54.00;;57.00;6.00;1.00;1.00;1.00;1.00
2023-07-06;16:26:13;3.00;87.00;5.00;;23.60;53.00;;51.00;7.00;1.00;1.00;1.00;1.00
2023-07-06;16:41:13;3.00;87.00;5.00;;23.70;53.00;;55.00;6.00;1.00;1.00;1.00;1.00
2023-07-06;16:56:13;3.00;87.00;5.00;;23.70;53.00;;53.00;5.00;1.00;1.00;1.00;1.00
2023-07-06;17:11:13;3.00;87.00;5.00;;23.70;52.00;;48.00;5.00;1.00;1.00;1.00;1.00
2023-07-06;17:26:13;3.00;87.00;5.00;;23.80;50.00;;46.00;5.00;1.00;1.00;1.00;1.00
2023-07-06;17:41:13;3.00;87.00;5.00;;23.80;49.00;;48.00;6.00;1.00;1.00;1.00;1.00
2023-07-06;17:56:13;3.00;87.00;5.00;;23.90;47.00;;48.00;5.00;1.00;1.00;1.00;1.00
2023-07-06;17:56:22;3.00;87.00;5.00;;23.90;47.00;;49.00;9.00;1.00;1.00;1.00;1.00
2023-07-06;18:11:13;3.00;87.00;5.00;;23.90;47.00;;50.00;6.00;1.00;1.00;1.00;1.00
2023-07-06;18:26:13;3.00;87.00;5.00;;23.90;46.00;;47.00;5.00;1.00;1.00;1.00;1.00
2023-07-06;18:41:13;3.00;87.00;5.00;;23.90;46.00;;47.00;5.00;1.00;1.00;1.00;1.00
2023-07-06;18:56:13;3.00;87.00;5.00;;23.90;46.00;;47.00;5.00;1.00;1.00;1.00;1.00
2023-07-06;19:11:13;3.00;87.00;5.00;;23.90;45.00;;46.00;7.00;1.00;1.00;1.00;1.00
2023-07-06;19:26:13;3.00;87.00;5.00;;23.80;45.00;;47.00;6.00;1.00;1.00;1.00;1.00
2023-07-06;19:41:13;3.00;87.00;5.00;;23.90;44.00;;44.00;5.00;1.00;1.00;1.00;1.00
2023-07-06;19:49:59;3.00;87.00;10.00;;23.90;44.00;;44.00;10.00;0.00;0.00;0.00;0.00
2023-07-06;20:04:44;3.00;87.00;5.00;;23.80;43.00;;44.00;6.00;1.00;1.00;1.00;1.00
2023-07-06;20:19:43;3.00;87.00;5.00;;23.80;43.00;;44.00;5.00;1.00;1.00;1.00;1.00
2023-07-06;20:34:43;3.00;87.00;5.00;;23.80;43.00;;45.00;7.00;1.00;1.00;1.00;1.00
2023-07-06;20:49:44;3.00;87.00;5.00;;23.80;43.00;;42.00;5.00;1.00;1.00;1.00;1.00
2023-07-06;21:04:43;3.00;87.00;5.00;;23.70;43.00;;43.00;6.00;1.00;1.00;1.00;1.00
2023-07-06;21:19:43;3.00;87.00;5.00;;23.70;43.00;;42.00;6.00;1.00;1.00;1.00;1.00
2023-07-06;21:34:43;3.00;87.00;5.00;;23.60;42.00;;39.00;5.00;1.00;1.00;1.00;1.00
2023-07-06;21:49:44;3.00;87.00;5.00;;23.50;42.00;;40.00;5.00;1.00;1.00;1.00;1.00
2023-07-06;22:04:43;3.00;87.00;5.00;;23.40;41.00;;41.00;4.00;1.00;1.00;1.00;1.00
2023-07-06;22:04:51;3.00;87.00;5.00;;23.40;41.00;;44.00;4.00;1.00;1.00;1.00;1.00
2023-07-06;22:19:43;3.00;87.00;5.00;;23.50;41.00;;41.00;5.00;1.00;1.00;1.00;1.00
2023-07-06;22:34:43;3.00;87.00;5.00;;23.60;41.00;;40.00;8.00;1.00;1.00;1.00;1.00
2023-07-06;22:49:43;3.00;87.00;5.00;;23.60;42.00;;40.00;9.00;1.00;1.00;1.00;1.00
