Periode;Variabel;Bygg;Antall rom;Antall;Q1;Q3;IQR;Nedre outliers;Øvre outliers;Nedre terskel;Øvre terskel;Tid under terskel (% tid);Tid over terskel (% tid);Antall brudd;Lengste brudd (timer);Grensebrudd < 5,00 (% tid)
Høst 2023;Temperatur (°C);Bygg 1;4;8824;21,9;24,2;2,3;14;40;18,0;26,0;0,06;10,31;60;97;Nei
Høst 2023;Temperatur (°C);Bygg 2;2;4942;22,4;24,1;1,7;63;0;18,0;26,0;0,02;0,53;6;9;Ja
Høst 2023;Temperatur (°C);Bygg 4;1;2289;21,9;24,2;2,3;1;0;18,0;26,0;0,04;3,76;9;35;Ja
Høst 2023;Temperatur (°C);Bygg 5;3;7602;22,5;24,1;1,6;74;69;18,0;26,0;0,01;2,7;26;56;Ja
Høst 2023;Temperatur (°C);Bygg 7;5;11102;22,6;24,0;1,4;308;622;18,0;26,0;0,01;5,68;17;415;Nei
Høst 2023;Temperatur (°C);Bygg 8;5;13334;22,4;24,0;1,6;276;74;18,0;26,0;0,02;1,81;38;56;Ja
Høst 2023;Luftfuktighet (%);Bygg 1;4;8824;29,0;47,0;18,0;0;0;25,0;70,0;9,93;0,0;51;123;Nei
Høst 2023;Luftfuktighet (%);Bygg 2;2;4942;30,0;49,0;19,0;0;0;25,0;70,0;6,01;0,0;25;57;Nei
Høst 2023;Luftfuktighet (%);Bygg 4;1;2289;29,0;46,0;17,0;0;0;25,0;70,0;11,45;0,0;15;107;Nei
Høst 2023;Luftfuktighet (%);Bygg 5;3;7602;30,0;48,0;18,0;0;0;25,0;70,0;6,63;0,0;45;66;Nei
Høst 2023;Luftfuktighet (%);Bygg 7;5;11102;29,0;47,0;18,0;0;0;25,0;70,0;9,16;0,0;77;66;Nei
Høst 2023;Luftfuktighet (%);Bygg 8;5;13334;29,0;48,0;19,0;0;0;25,0;70,0;9,44;0,0;78;112;Nei
Høst 2023;CO2 (ppm);Bygg 1;4;8708;404,0;426,0;22,0;0;360;;1500,0;0,0;0,0;0;0;Ja
Høst 2023;CO2 (ppm);Bygg 2;2;4903;405,0;427,0;23,0;0;150;;1500,0;0,0;0,0;0;0;Ja
Høst 2023;CO2 (ppm);Bygg 4;1;2252;403,0;430,0;27,0;0;83;;1500,0;0,0;0,0;0;0;Ja
Høst 2023;CO2 (ppm);Bygg 5;3;7539;406,0;428,0;21,0;0;293;;1500,0;0,0;0,0;0;0;Ja
Høst 2023;CO2 (ppm);Bygg 7;5;10991;407,0;429,0;22,0;0;401;;1500,0;0,0;0,0;0;0;Ja
Høst 2023;CO2 (ppm);Bygg 8;5;13260;406,0;428,0;22,0;0;539;;1500,0;0,0;0,0;0;0;Ja
Høst 2023;Formaldehyd (µg/m³);Bygg 1;4;8824;1,0;6,0;5,0;0;1407;;120,0;0,0;2,13;27;16;Ja
Høst 2023;Formaldehyd (µg/m³);Bygg 2;2;4942;1,0;14,0;13,0;0;595;;120,0;0,0;4,39;15;60;Ja
Høst 2023;Formaldehyd (µg/m³);Bygg 4;1;2289;1,0;3,0;2,0;0;534;;120,0;0,0;0,79;4;10;Ja
Høst 2023;Formaldehyd (µg/m³);Bygg 5;3;7602;1,0;8,0;7,0;0;948;;120,0;0,0;0,04;1;3;Ja
Høst 2023;Formaldehyd (µg/m³);Bygg 7;5;11102;1,0;9,0;8,0;0;1406;;120,0;0,0;1,96;22;59;Ja
Høst 2023;Formaldehyd (µg/m³);Bygg 8;5;13334;1,0;5,0;4,0;0;2221;;120,0;0,0;0,1;4;5;Ja
Høst 2023;TVOC (ppb);Bygg 1;2;4297;94,0;233,0;139,0;0;226;;621,0;0,0;0,91;13;11;Ja
Høst 2023;TVOC (ppb);Bygg 2;1;2007;103,0;271,0;169,0;0;46;;621,0;0,0;0,95;11;4;Ja
Høst 2023;TVOC (ppb);Bygg 4;1;2289;101,0;289,0;188,0;0;23;;621,0;0,0;0,66;9;4;Ja
Høst 2023;TVOC (ppb);Bygg 5;2;4667;108,0;439,0;331,0;0;259;;621,0;0,0;12,13;80;30;Nei
Høst 2023;TVOC (ppb);Bygg 7;5;11102;107,0;466,0;360,0;0;247;;621,0;0,0;10,74;198;23;Nei
Høst 2023;TVOC (ppb);Bygg 8;2;5224;116,0;469,0;353,0;0;170;;621,0;0,0;13,8;97;22;Nei
Høst 2023;PM 1.0 (µg/m³);Bygg 1;4;8824;0,0;1,0;1,0;0;677;;35,0;0,0;0,05;4;1;Ja
Høst 2023;PM 1.0 (µg/m³);Bygg 2;2;4942;0,0;1,0;1,0;0;282;;35,0;0,0;0,02;1;1;Ja
Høst 2023;PM 1.0 (µg/m³);Bygg 4;1;2289;0,0;1,0;1,0;0;153;;35,0;0,0;0,04;1;1;Ja
Høst 2023;PM 1.0 (µg/m³);Bygg 5;3;7602;0,0;1,0;1,0;0;385;;35,0;0,0;0,01;1;1;Ja
Høst 2023;PM 1.0 (µg/m³);Bygg 7;5;11102;0,0;1,0;1,0;0;555;;35,0;0,0;0,01;1;1;Ja
Høst 2023;PM 1.0 (µg/m³);Bygg 8;5;13334;0,0;1,0;1,0;0;744;;35,0;0,0;0,01;2;1;Ja
Høst 2023;PM 2.5 (µg/m³);Bygg 1;4;8824;0,0;1,0;1,0;0;877;;35,0;0,0;0,05;4;1;Ja
Høst 2023;PM 2.5 (µg/m³);Bygg 2;2;4942;0,0;1,0;1,0;0;312;;35,0;0,0;0,02;1;1;Ja
Høst 2023;PM 2.5 (µg/m³);Bygg 4;1;2289;0,0;1,0;1,0;0;194;;35,0;0,0;0,04;1;1;Ja
Høst 2023;PM 2.5 (µg/m³);Bygg 5;3;7602;0,0;1,0;1,0;0;422;;35,0;0,0;0,01;1;1;Ja
Høst 2023;PM 2.5 (µg/m³);Bygg 7;5;11102;0,0;1,0;1,0;0;626;;35,0;0,0;0,01;1;1;Ja
