Periode;Variabel;Bygg;Rom;Antall;Q1;Q3;Q4;IQR;Nedre outliers;Øvre outliers;Nedre terskel;Øvre terskel;Tid under terskel (% tid);Tid over terskel (% tid);Antall brudd;Lengste brudd (timer);Grensebrudd < 5,00 (% tid)
Høst 2023;Formaldehyd (µg/m³);Bygg 1;1;2007;1;19;46;18;0;68;;120;0,0;0,2;1;4;Ja
Høst 2023;Formaldehyd (µg/m³);Bygg 1;2;2289;1;7;15;6;0;195;;120;0,0;0,22;2;3;Ja
Høst 2023;Formaldehyd (µg/m³);Bygg 1;3;2290;1;27;66;26;0;382;;120;0,0;7,55;22;16;Nei
Høst 2023;Formaldehyd (µg/m³);Bygg 1;4;2238;1;3;5;2;0;167;;120;0,0;0,27;2;4;Ja
Høst 2023;Formaldehyd (µg/m³);Bygg 2;1;2007;1;46;113;45;0;239;;120;0,0;10,81;15;60;Nei
Høst 2023;Formaldehyd (µg/m³);Bygg 2;2;2935;1;12;29;11;0;177;;120;0,0;0,0;0;0;Ja
Høst 2023;Formaldehyd (µg/m³);Bygg 4;1;2289;1;3;7;2;0;534;;120;0,0;0,79;4;10;Ja
Høst 2023;Formaldehyd (µg/m³);Bygg 5;1;2935;1;9;21;8;0;417;;120;0,0;0,0;0;0;Ja
Høst 2023;Formaldehyd (µg/m³);Bygg 5;2;2660;2;4;7;2;0;345;;120;0,0;0,0;0;0;Ja
Høst 2023;Formaldehyd (µg/m³);Bygg 5;3;2007;2;19;44;17;0;92;;120;0,0;0,15;1;3;Ja
Høst 2023;Formaldehyd (µg/m³);Bygg 7;1;2011;1;45;111;44;0;255;;120;0,0;10,84;22;59;Nei
Høst 2023;Formaldehyd (µg/m³);Bygg 7;2;2887;2;21;49;19;0;0;;120;0,0;0,0;0;0;Ja
Høst 2023;Formaldehyd (µg/m³);Bygg 7;3;2935;1;3;6;2;0;555;;120;0,0;0,0;0;0;Ja
Høst 2023;Formaldehyd (µg/m³);Bygg 7;4;334;1;2;4;1;0;0;;120;0,0;0,0;0;0;Ja
Høst 2023;Formaldehyd (µg/m³);Bygg 7;5;2935;1;2;5;1;0;495;;120;0,0;0,0;0;0;Ja
Høst 2023;Formaldehyd (µg/m³);Bygg 8;1;2935;1;4;9;3;0;552;;120;0,0;0,0;0;0;Ja
Høst 2023;Formaldehyd (µg/m³);Bygg 8;2;2266;1;5;11;4;0;417;;120;0,0;0,22;2;3;Ja
Høst 2023;Formaldehyd (µg/m³);Bygg 8;3;2935;1;13;31;12;0;234;;120;0,0;0,0;0;0;Ja
Høst 2023;Formaldehyd (µg/m³);Bygg 8;4;2909;1;3;7;2;0;537;;120;0,0;0,0;0;0;Ja
Høst 2023;Formaldehyd (µg/m³);Bygg 8;5;2289;1;4;9;3;0;299;;120;0,0;0,35;2;5;Ja
Høst 2023;TVOC (ppb);Bygg 1;1;2007;73;186;354;113;0;75;;621;0,0;0,25;3;3;Ja
Høst 2023;TVOC (ppb);Bygg 1;3;2290;117;276;515;159;0;111;;621;0,0;1,48;10;11;Ja
Høst 2023;TVOC (ppb);Bygg 2;1;2007;103;271;524;169;0;46;;621;0,0;0,95;11;4;Ja
Høst 2023;TVOC (ppb);Bygg 4;1;2289;101;289;571;188;0;23;;621;0,0;0,66;9;4;Ja
Høst 2023;TVOC (ppb);Bygg 5;2;2660;88;392;848;304;0;25;;621;0,0;3,53;19;12;Ja
Høst 2023;TVOC (ppb);Bygg 5;3;2007;161;588;1230;428;0;122;;621;0,0;23,52;61;30;Nei
Høst 2023;TVOC (ppb);Bygg 7;1;2011;110;271;512;161;0;58;;621;0,0;0,55;6;4;Ja
Høst 2023;TVOC (ppb);Bygg 7;2;2887;97;497;1096;400;0;41;;621;0,0;11,92;59;16;Nei
Høst 2023;TVOC (ppb);Bygg 7;3;2935;109;550;1211;441;0;51;;621;0,0;18,09;79;23;Nei
Høst 2023;TVOC (ppb);Bygg 7;4;334;108;193;321;85;0;11;;621;0,0;0,3;1;1;Ja
Høst 2023;TVOC (ppb);Bygg 7;5;2935;110;484;1045;374;0;50;;621;0,0;10,39;53;19;Nei
Høst 2023;TVOC (ppb);Bygg 8;3;2935;123;602;1321;479;0;48;;621;0,0;23,58;87;22;Nei
Høst 2023;TVOC (ppb);Bygg 8;5;2289;108;318;632;210;0;25;;621;0,0;1,27;10;7;Ja
