Periode;Sensor;Bygg;Rom;Første måling;Siste måling;Antall timer med data;Måleperiode (dager)
Høst 2023;Bygg 1 - rom 1;Bygg 1;1;10.08.2023 00:00;04.12.2023 15:00;2007;116,62
Høst 2023;Bygg 1 - rom 2;Bygg 1;2;10.08.2023 00:00;10.12.2023 23:00;2289;122,96
Høst 2023;Bygg 1 - rom 3;Bygg 1;3;10.08.2023 00:00;10.12.2023 23:00;2290;122,96
Høst 2023;Bygg 1 - rom 4;Bygg 1;4;10.08.2023 00:00;10.12.2023 23:00;2238;122,96
Høst 2023;Bygg 2 - rom 1;Bygg 2;1;10.08.2023 00:00;04.12.2023 15:00;2007;116,62
Høst 2023;Bygg 2 - rom 2;Bygg 2;2;10.08.2023 00:00;10.12.2023 23:00;2935;122,96
Høst 2023;Bygg 4 - rom 1;Bygg 4;1;10.08.2023 00:00;10.12.2023 23:00;2289;122,96
Høst 2023;Bygg 5 - rom 1;Bygg 5;1;10.08.2023 00:00;10.12.2023 23:00;2935;122,96
Høst 2023;Bygg 5 - rom 2;Bygg 5;2;10.08.2023 00:00;04.12.2023 15:00;2660;116,62
Høst 2023;Bygg 5 - rom 3;Bygg 5;3;10.08.2023 00:00;04.12.2023 15:00;2007;116,62
Høst 2023;Bygg 7 - rom 1;Bygg 7;1;10.08.2023 00:00;04.12.2023 15:00;2011;116,62
Høst 2023;Bygg 7 - rom 2;Bygg 7;2;10.08.2023 00:00;10.12.2023 23:00;2887;122,96
Høst 2023;Bygg 7 - rom 3;Bygg 7;3;10.08.2023 00:00;10.12.2023 23:00;2935;122,96
Høst 2023;Bygg 7 - rom 4;Bygg 7;4;20.10.2023 23:00;10.12.2023 23:00;334;51,0
Høst 2023;Bygg 7 - rom 5;Bygg 7;5;10.08.2023 00:00;10.12.2023 23:00;2935;122,96
Høst 2023;Bygg 8 - rom 1;Bygg 8;1;10.08.2023 00:00;10.12.2023 23:00;2935;122,96
Høst 2023;Bygg 8 - rom 2;Bygg 8;2;10.08.2023 00:00;10.12.2023 23:00;2266;122,96
Høst 2023;Bygg 8 - rom 3;Bygg 8;3;10.08.2023 00:00;10.12.2023 23:00;2935;122,96
Høst 2023;Bygg 8 - rom 4;Bygg 8;4;10.08.2023 00:00;10.12.2023 23:00;2909;122,96
Høst 2023;Bygg 8 - rom 5;Bygg 8;5;10.08.2023 00:00;10.12.2023 23:00;2289;122,96
