Periode;Variabel;Bygg;Antall;Q1;Q3;IQR;Nedre outliers;Øvre outliers;Nedre terskel;Øvre terskel;Tid under terskel (% tid);Tid over terskel (% tid);Antall brudd;Lengste brudd (timer);Grensebrudd < 5,00 (% tid)
Høst 2025;Temperatur (°C);Bygg 1;5879;21,5;23,9;2,4;97;0;18,0;26,0;1,72;1,48;25;39;Ja
Høst 2025;Temperatur (°C);Bygg 2;2952;22,7;24,2;1,5;0;0;18,0;26,0;0,0;0,0;0;0;Ja
Høst 2025;Temperatur (°C);Bygg 5;5898;22,28;24,52;2,23;9;3;18,0;26,0;0,07;3,26;20;55;Ja
Høst 2025;Temperatur (°C);Bygg 7;10072;23,13;25,01;1,88;104;83;18,0;26,0;0,27;8,88;192;47;Nei
Høst 2025;Temperatur (°C);Bygg 8;5077;21,82;23,57;1,75;24;25;18,0;26,0;0,16;0,67;14;20;Ja
Høst 2025;Luftfuktighet (%);Bygg 1;5879;44,0;56,0;12,0;0;4;25,0;70,0;0,0;0,32;7;5;Ja
Høst 2025;Luftfuktighet (%);Bygg 2;2952;38,0;48,5;10,5;0;0;25,0;70,0;0,34;0,0;2;6;Ja
Høst 2025;Luftfuktighet (%);Bygg 5;5898;38,0;49,0;11,0;0;0;25,0;70,0;0,03;0,0;1;2;Ja
Høst 2025;Luftfuktighet (%);Bygg 7;10072;39,17;50,33;11,17;0;1;25,0;70,0;0,07;0,0;3;4;Ja
Høst 2025;Luftfuktighet (%);Bygg 8;5077;40,5;50,83;10,33;37;1;25,0;70,0;0,73;0,0;16;7;Ja
Høst 2025;CO2 (ppm);Bygg 1;5879;428,67;1071,75;643,08;0;450;;1500,0;0,0;12,81;116;27;Nei
Høst 2025;CO2 (ppm);Bygg 2;2952;419,83;526,38;106,54;0;5;;1500,0;0,0;0,0;0;0;Ja
Høst 2025;CO2 (ppm);Bygg 5;5898;412,83;512,96;100,13;0;747;;1500,0;0,0;0,59;11;8;Ja
Høst 2025;CO2 (ppm);Bygg 7;10071;419,5;629,0;209,5;0;240;;1500,0;0,0;0,23;8;5;Ja
Høst 2025;CO2 (ppm);Bygg 8;5077;409,83;621,67;211,83;0;85;;1500,0;0,0;0,0;0;0;Ja
Høst 2025;Formaldehyd (µg/m³);Bygg 1;5879;3,0;37,33;34,33;0;94;;120,0;0,0;0,0;0;0;Ja
Høst 2025;Formaldehyd (µg/m³);Bygg 2;2952;9,12;23,33;14,21;0;12;;120,0;0,0;0,0;0;0;Ja
Høst 2025;Formaldehyd (µg/m³);Bygg 5;5898;2,0;4,17;2,17;0;704;;120,0;0,0;0,0;0;0;Ja
Høst 2025;Formaldehyd (µg/m³);Bygg 7;10072;1,0;30,0;29,0;0;1993;;120,0;0,0;13,88;51;414;Nei
Høst 2025;Formaldehyd (µg/m³);Bygg 8;5077;2,0;18,5;16,5;0;84;;120,0;0,0;0,51;12;13;Ja
Høst 2025;TVOC (ppb);Bygg 5;5898;122,0;432,25;310,25;0;742;;621,0;0,0;17,46;296;37;Nei
Høst 2025;TVOC (ppb);Bygg 7;10072;205,29;960,33;755,04;0;809;;621,0;0,0;38,31;524;144;Nei
Høst 2025;TVOC (ppb);Bygg 8;2128;258,42;4478,3;4219,88;0;109;;621,0;0,0;60,95;182;66;Nei
Høst 2025;PM 1.0 (µg/m³);Bygg 1;5879;0,41;2,0;1,59;0;271;;35,0;0,0;0,0;0;0;Ja
Høst 2025;PM 1.0 (µg/m³);Bygg 2;2952;0,0;1,0;1,0;0;284;;35,0;0,0;0,71;17;4;Ja
Høst 2025;PM 1.0 (µg/m³);Bygg 5;5898;0,0;1,0;1,0;0;437;;35,0;0,0;0,63;25;4;Ja
Høst 2025;PM 1.0 (µg/m³);Bygg 7;10072;0,0;1,6;1,6;0;560;;35,0;0,0;0,23;16;3;Ja
Høst 2025;PM 1.0 (µg/m³);Bygg 8;5077;0,0;1,0;1,0;0;545;;35,0;0,0;0,41;14;2;Ja
Høst 2025;PM 2.5 (µg/m³);Bygg 1;5879;0,83;2,0;1,17;0;546;;35,0;0,0;0,0;0;0;Ja
Høst 2025;PM 2.5 (µg/m³);Bygg 2;2952;0,0;1,0;1,0;0;302;;35,0;0,0;0,78;17;4;Ja
Høst 2025;PM 2.5 (µg/m³);Bygg 5;5898;0,0;1,0;1,0;0;517;;35,0;0,0;0,66;27;4;Ja
Høst 2025;PM 2.5 (µg/m³);Bygg 7;10072;0,17;2,0;1,83;0;431;;35,0;0,0;0,25;18;3;Ja
Høst 2025;PM 2.5 (µg/m³);Bygg 8;5077;0,0;1,17;1,17;0;537;;35,0;0,0;0,47;16;3;Ja
Høst 2025;PM 4.0 (µg/m³);Bygg 1;5879;0,83;2,17;1,33;0;467;;35,0;0,0;0,0;0;0;Ja
Høst 2025;PM 4.0 (µg/m³);Bygg 2;2952;0,0;1,0;1,0;0;304;;35,0;0,0;0,78;17;4;Ja
Høst 2025;PM 4.0 (µg/m³);Bygg 5;5898;0,0;1,17;1,17;0;500;;35,0;0,0;0,68;27;4;Ja
Høst 2025;PM 4.0 (µg/m³);Bygg 7;10072;0,33;2,0;1,67;0;485;;35,0;0,0;0,25;18;3;Ja
Høst 2025;PM 4.0 (µg/m³);Bygg 8;5077;0,0;1,33;1,33;0;421;;35,0;0,0;0,47;16;3;Ja
Høst 2025;PM 10 (µg/m³);Bygg 1;5879;0,83;2,17;1,33;0;502;;100,0;0,0;0,0;0;0;Ja
Høst 2025;PM 10 (µg/m³);Bygg 2;2952;0,0;1,0;1,0;0;304;;100,0;0,0;0,0;0;0;Ja
Høst 2025;PM 10 (µg/m³);Bygg 5;5898;0,0;1,17;1,17;0;520;;100,0;0,0;0,05;3;1;Ja
Høst 2025;PM 10 (µg/m³);Bygg 7;10072;0,33;2,0;1,67;0;511;;100,0;0,0;0,06;5;2;Ja
Høst 2025;PM 10 (µg/m³);Bygg 8;5077;0,0;1,33;1,33;0;428;;100,0;0,0;0,16;7;2;Ja
