Periode;Variabel;Bygg;Rom;Antall;Q1;Q3;IQR;Nedre outliers;Øvre outliers;Nedre terskel;Øvre terskel;Tid under terskel (% tid);Tid over terskel (% tid);Antall brudd;Lengste brudd (timer);Grensebrudd < 5,00 (% tid)
Høst 2025;Formaldehyd (µg/m³);Bygg 1;2;2927;1,5;18,33;16,83;0;15;;120,0;0,0;0,0;0;0;Ja
Høst 2025;Formaldehyd (µg/m³);Bygg 1;4;2952;20,0;56,5;36,5;0;22;;120,0;0,0;0,0;0;0;Ja
Høst 2025;Formaldehyd (µg/m³);Bygg 2;2;2952;9,12;23,33;14,21;0;12;;120,0;0,0;0,0;0;0;Ja
Høst 2025;Formaldehyd (µg/m³);Bygg 5;2;2949;2,0;5,0;3,0;0;225;;120,0;0,0;0,0;0;0;Ja
Høst 2025;Formaldehyd (µg/m³);Bygg 5;3;2949;1,0;3,33;2,33;0;353;;120,0;0,0;0,0;0;0;Ja
Høst 2025;Formaldehyd (µg/m³);Bygg 7;1;1392;4,29;26,83;22,54;0;7;;120,0;0,0;0,07;1;1;Ja
Høst 2025;Formaldehyd (µg/m³);Bygg 7;3;2858;51,88;148,5;96,62;0;4;;120,0;0,0;48,88;50;414;Nei
Høst 2025;Formaldehyd (µg/m³);Bygg 7;4;2952;1,33;7,5;6,17;0;262;;120,0;0,0;0,0;0;0;Ja
Høst 2025;Formaldehyd (µg/m³);Bygg 7;5;2870;1,0;2,0;1,0;0;64;;120,0;0,0;0,0;0;0;Ja
Høst 2025;Formaldehyd (µg/m³);Bygg 8;2;2949;2,17;17,17;15,0;0;51;;120,0;0,0;0,14;4;1;Ja
Høst 2025;Formaldehyd (µg/m³);Bygg 8;3;2128;2,0;19,67;17,67;0;39;;120,0;0,0;1,03;8;13;Ja
Høst 2025;TVOC (ppb);Bygg 5;2;2949;99,67;277,33;177,67;0;327;;621,0;0,0;9,43;59;21;Nei
Høst 2025;TVOC (ppb);Bygg 5;3;2949;158,83;634,33;475,5;0;385;;621,0;0,0;25,5;237;37;Nei
Høst 2025;TVOC (ppb);Bygg 7;1;1392;170,33;682,96;512,62;0;143;;621,0;0,0;27,3;74;25;Nei
Høst 2025;TVOC (ppb);Bygg 7;3;2858;211,83;1043,17;831,33;0;270;;621,0;0,0;44,4;115;65;Nei
Høst 2025;TVOC (ppb);Bygg 7;4;2952;407,92;1318,12;910,21;0;186;;621,0;0,0;54,91;167;144;Nei
Høst 2025;TVOC (ppb);Bygg 7;5;2870;146,79;534,83;388,04;0;278;;621,0;0,0;20,52;168;12;Nei
Høst 2025;TVOC (ppb);Bygg 8;3;2128;258,42;4478,3;4219,88;0;109;;621,0;0,0;60,95;182;66;Nei
